Run Directory,Fitness,Model,ofv,success,covar,correlation #,ntheta,nomega,nsigm,condition,RPenalty,PythonPenalty,NMTran messages
C:\Users\vnazarov.CERTARA\pydarwin\Example4\temp\0\3,99999999.000000,20000112001101300,99999999,False,False,False,0,0,0,99999999,0,0,From NM_0_3: 
C:\Users\vnazarov.CERTARA\pydarwin\Example4\temp\0\4,99999999.000000,00120101101100401,99999999,False,False,False,9,7,1,99999999,99999999,0,From NM_0_4: NON-FIXED OMEGA NON-FIXED PARAMETER 
C:\Users\vnazarov.CERTARA\pydarwin\Example4\temp\6\40,99999999.000000,21020012001000221,99999999,False,False,False,0,0,0,99999999,0,0,From NM_6_40: 
C:\Users\vnazarov.CERTARA\pydarwin\Example4\temp\7\5,99999999.000000,11020002110100221,99999999,False,False,False,0,0,0,99999999,0,0,
C:\Users\vnazarov.CERTARA\pydarwin\Example4\temp\7\9,99999999.000000,21020012011100401,99999999,False,False,False,14,6,1,99999999,99999999,0,NON-FIXED OMEGA NON-FIXED PARAMETER 
C:\Users\vnazarov.CERTARA\pydarwin\Example4\temp\7\8,99999999.000000,10021012000001401,99999999,False,False,False,10,7,1,99999999,99999999,0,NON-FIXED OMEGA NON-FIXED PARAMETER 
C:\Users\vnazarov.CERTARA\pydarwin\Example4\temp\7\7,99999999.000000,10021012001101221,99999999,False,False,False,12,4,1,99999999,99999999,0,No important warnings
C:\Users\vnazarov.CERTARA\pydarwin\Example4\temp\7\13,99999999.000000,21000110001101311,99999999,False,False,False,0,0,0,99999999,0,0,
C:\Users\vnazarov.CERTARA\pydarwin\Example4\temp\7\10,99999999.000000,21120002001001221,99999999,False,False,False,13,6,1,99999999,99999999,0,No important warnings
C:\Users\vnazarov.CERTARA\pydarwin\Example4\temp\7\11,99999999.000000,10120002011110211,99999999,False,False,False,10,4,1,99999999,99999999,0,NON-FIXED OMEGA NON-FIXED PARAMETER 
C:\Users\vnazarov.CERTARA\pydarwin\Example4\temp\7\15,99999999.000000,11020102110110421,99999999,False,False,False,0,0,0,99999999,0,0,
C:\Users\vnazarov.CERTARA\pydarwin\Example4\temp\7\16,99999999.000000,20020102100010400,99999999,False,False,False,0,0,0,99999999,0,0,
C:\Users\vnazarov.CERTARA\pydarwin\Example4\temp\7\12,99999999.000000,00021002001111221,10837.112863600822,False,True,True,9,3,1,5.480493682095201,99999999,0,No important warnings
C:\Users\vnazarov.CERTARA\pydarwin\Example4\temp\7\17,99999999.000000,10120011011011001,99999999,False,False,False,11,4,1,99999999,99999999,0,No important warnings
C:\Users\vnazarov.CERTARA\pydarwin\Example4\temp\7\18,99999999.000000,10011011000101211,99999999,False,False,False,0,0,0,99999999,0,0,
C:\Users\vnazarov.CERTARA\pydarwin\Example4\temp\6\26,99999999.000000,21001002100011411,99999999,False,False,False,0,0,0,99999999,0,0,From NM_6_26: 
C:\Users\vnazarov.CERTARA\pydarwin\Example4\temp\7\19,99999999.000000,21111001001101321,99999999,False,False,False,0,0,0,99999999,0,0,
C:\Users\vnazarov.CERTARA\pydarwin\Example4\temp\7\20,99999999.000000,21010012110100100,99999999,False,False,False,14,4,2,99999999,99999999,0,No important warnings
C:\Users\vnazarov.CERTARA\pydarwin\Example4\temp\7\22,99999999.000000,21000112111001300,99999999,False,False,False,0,0,0,99999999,0,0,
C:\Users\vnazarov.CERTARA\pydarwin\Example4\temp\7\23,99999999.000000,21020012000111120,99999999,False,False,False,0,0,0,99999999,0,0,
C:\Users\vnazarov.CERTARA\pydarwin\Example4\temp\7\24,99999999.000000,21110112111011220,99999999,False,False,False,0,0,0,99999999,0,0,
C:\Users\vnazarov.CERTARA\pydarwin\Example4\temp\7\14,99999999.000000,01121101001010411,10821.197853844591,True,True,True,9,7,1,-1.2700888118304566e+16,99999999,0,NON-FIXED OMEGA NON-FIXED PARAMETER 
C:\Users\vnazarov.CERTARA\pydarwin\Example4\temp\7\25,99999999.000000,20021011110010401,99999999,False,False,False,14,6,1,99999999,99999999,0,NON-FIXED OMEGA NON-FIXED PARAMETER 
C:\Users\vnazarov.CERTARA\pydarwin\Example4\temp\7\26,99999999.000000,21111102110110310,99999999,False,False,False,0,0,0,99999999,0,0,
C:\Users\vnazarov.CERTARA\pydarwin\Example4\temp\7\28,99999999.000000,11001012100011401,99999999,False,False,False,0,0,0,99999999,0,0,
C:\Users\vnazarov.CERTARA\pydarwin\Example4\temp\7\29,99999999.000000,21110112101111300,99999999,False,False,False,15,5,2,99999999,99999999,0,NON-FIXED OMEGA NON-FIXED PARAMETER 
C:\Users\vnazarov.CERTARA\pydarwin\Example4\temp\7\30,99999999.000000,20120001110100100,99999999,False,False,False,12,5,2,99999999,99999999,0,No important warnings
C:\Users\vnazarov.CERTARA\pydarwin\Example4\temp\7\32,99999999.000000,11011011101001310,99999999,False,False,False,0,0,0,99999999,0,0,
C:\Users\vnazarov.CERTARA\pydarwin\Example4\temp\7\33,99999999.000000,11020000110101221,99999999,False,False,False,0,0,0,99999999,0,0,
C:\Users\vnazarov.CERTARA\pydarwin\Example4\temp\7\35,99999999.000000,21020011111010221,99999999,False,False,False,0,0,0,99999999,0,0,
C:\Users\vnazarov.CERTARA\pydarwin\Example4\temp\7\34,99999999.000000,01020012111101421,99999999,False,False,False,0,0,0,99999999,0,0,
C:\Users\vnazarov.CERTARA\pydarwin\Example4\temp\7\36,99999999.000000,10101011110000401,99999999,False,False,False,0,0,0,99999999,0,0,
C:\Users\vnazarov.CERTARA\pydarwin\Example4\temp\7\38,99999999.000000,20010002101000101,99999999,False,False,False,0,0,0,99999999,0,0,
C:\Users\vnazarov.CERTARA\pydarwin\Example4\temp\7\39,99999999.000000,21101002010010421,99999999,False,False,False,13,7,1,99999999,99999999,0,No important warnings
C:\Users\vnazarov.CERTARA\pydarwin\Example4\temp\7\31,99999999.000000,00120110000101320,9755.16629150259,False,True,True,8,6,2,7021.75956246924,99999999,0,No important warnings
C:\Users\vnazarov.CERTARA\pydarwin\Example4\temp\7\40,99999999.000000,01100101110010321,99999999,False,False,False,0,0,0,99999999,0,0,
C:\Users\vnazarov.CERTARA\pydarwin\Example4\temp\7\41,99999999.000000,11021012001001201,99999999,False,False,False,12,5,1,99999999,99999999,0,NON-FIXED OMEGA NON-FIXED PARAMETER 
C:\Users\vnazarov.CERTARA\pydarwin\Example4\temp\7\27,99999999.000000,10111102011101100,8396.535555737697,True,True,True,12,5,2,69.34988559782212,99999999,0,No important warnings
C:\Users\vnazarov.CERTARA\pydarwin\Example4\temp\7\42,99999999.000000,20021011101001420,99999999,False,False,False,0,0,0,99999999,0,0,
C:\Users\vnazarov.CERTARA\pydarwin\Example4\temp\7\44,99999999.000000,11001012100100301,99999999,False,False,False,0,0,0,99999999,0,0,
C:\Users\vnazarov.CERTARA\pydarwin\Example4\temp\7\43,99999999.000000,21121001101101401,99999999,False,False,False,14,7,1,99999999,99999999,0,NON-FIXED OMEGA NON-FIXED PARAMETER 
C:\Users\vnazarov.CERTARA\pydarwin\Example4\temp\7\45,99999999.000000,20100001110000411,99999999,False,False,False,0,0,0,99999999,0,0,
C:\Users\vnazarov.CERTARA\pydarwin\Example4\temp\7\46,99999999.000000,10000002110000320,99999999,False,False,False,0,0,0,99999999,0,0,
C:\Users\vnazarov.CERTARA\pydarwin\Example4\temp\7\47,99999999.000000,21001012011011210,99999999,False,False,False,14,4,2,99999999,99999999,0,NON-FIXED OMEGA NON-FIXED PARAMETER 
C:\Users\vnazarov.CERTARA\pydarwin\Example4\temp\7\49,99999999.000000,10020002111010201,99999999,False,False,False,11,4,1,99999999,99999999,0,NON-FIXED OMEGA NON-FIXED PARAMETER 
C:\Users\vnazarov.CERTARA\pydarwin\Example4\temp\7\50,99999999.000000,20120102000000301,99999999,False,False,False,11,7,1,99999999,99999999,0,NON-FIXED OMEGA NON-FIXED PARAMETER 
C:\Users\vnazarov.CERTARA\pydarwin\Example4\temp\7\51,99999999.000000,00110102000110100,99999999,False,False,False,0,0,0,99999999,0,0,
C:\Users\vnazarov.CERTARA\pydarwin\Example4\temp\7\52,99999999.000000,11110012110010321,99999999,False,False,False,0,0,0,99999999,0,0,
C:\Users\vnazarov.CERTARA\pydarwin\Example4\temp\7\53,99999999.000000,20120101101111000,99999999,False,False,False,0,0,0,99999999,0,0,
C:\Users\vnazarov.CERTARA\pydarwin\Example4\temp\7\54,99999999.000000,20120000001010201,99999999,False,False,False,0,0,0,99999999,0,0,
C:\Users\vnazarov.CERTARA\pydarwin\Example4\temp\7\37,99999999.000000,10021102000001321,9845.064790724899,False,True,True,11,6,1,9330.20510562583,99999999,0,No important warnings
C:\Users\vnazarov.CERTARA\pydarwin\Example4\temp\7\55,99999999.000000,21020112001010310,99999999,False,False,False,0,0,0,99999999,0,0,
C:\Users\vnazarov.CERTARA\pydarwin\Example4\temp\7\56,99999999.000000,20021011110000001,99999999,False,False,False,0,0,0,99999999,0,0,
C:\Users\vnazarov.CERTARA\pydarwin\Example4\temp\7\57,99999999.000000,21100101110010321,99999999,False,False,False,0,0,0,99999999,0,0,
C:\Users\vnazarov.CERTARA\pydarwin\Example4\temp\7\60,99999999.000000,10020002101001421,99999999,False,False,False,0,0,0,99999999,0,0,
C:\Users\vnazarov.CERTARA\pydarwin\Example4\temp\7\59,99999999.000000,11100111101011211,99999999,False,False,False,12,5,1,99999999,99999999,0,NON-FIXED OMEGA NON-FIXED PARAMETER 
C:\Users\vnazarov.CERTARA\pydarwin\Example4\temp\7\48,99999999.000000,11121002101100000,8413.798515076947,True,True,True,12,4,2,10900.972309727918,99999999,0,No important warnings
C:\Users\vnazarov.CERTARA\pydarwin\Example4\temp\7\61,99999999.000000,21101110001111201,99999999,False,False,False,0,0,0,99999999,0,0,
C:\Users\vnazarov.CERTARA\pydarwin\Example4\temp\7\62,99999999.000000,20100011110100411,99999999,False,False,False,0,0,0,99999999,0,0,
C:\Users\vnazarov.CERTARA\pydarwin\Example4\temp\7\64,99999999.000000,21010012000111121,99999999,False,False,False,0,0,0,99999999,0,0,
C:\Users\vnazarov.CERTARA\pydarwin\Example4\temp\7\63,99999999.000000,11010110011001220,99999999,False,False,False,0,0,0,99999999,0,0,
C:\Users\vnazarov.CERTARA\pydarwin\Example4\temp\7\65,99999999.000000,20101012001101101,99999999,False,False,False,0,0,0,99999999,0,0,
C:\Users\vnazarov.CERTARA\pydarwin\Example4\temp\7\66,99999999.000000,10120012110000320,99999999,False,False,False,0,0,0,99999999,0,0,
C:\Users\vnazarov.CERTARA\pydarwin\Example4\temp\7\67,99999999.000000,20111002111111221,99999999,False,False,False,15,4,1,99999999,99999999,0,No important warnings
C:\Users\vnazarov.CERTARA\pydarwin\Example4\temp\7\68,99999999.000000,10021102001111121,99999999,False,False,False,0,0,0,99999999,0,0,
C:\Users\vnazarov.CERTARA\pydarwin\Example4\temp\7\69,99999999.000000,10121002011111010,99999999,False,False,False,0,0,0,99999999,0,0,
C:\Users\vnazarov.CERTARA\pydarwin\Example4\temp\7\58,99999999.000000,01020010111100221,11711.419679746237,False,True,True,10,4,1,4616335.800463656,99999999,0,No important warnings
C:\Users\vnazarov.CERTARA\pydarwin\Example4\temp\7\71,99999999.000000,21021102000000301,99999999,False,False,False,0,0,0,99999999,0,0,
C:\Users\vnazarov.CERTARA\pydarwin\Example4\temp\7\72,99999999.000000,10101011101001301,99999999,False,False,False,0,0,0,99999999,0,0,
C:\Users\vnazarov.CERTARA\pydarwin\Example4\temp\7\73,99999999.000000,21100000000101200,99999999,False,False,False,9,5,2,99999999,99999999,0,NON-FIXED OMEGA NON-FIXED PARAMETER 
C:\Users\vnazarov.CERTARA\pydarwin\Example4\temp\7\74,99999999.000000,21110012110011220,99999999,False,False,False,0,0,0,99999999,0,0,
C:\Users\vnazarov.CERTARA\pydarwin\Example4\temp\7\75,99999999.000000,21020012111000220,99999999,False,False,False,0,0,0,99999999,0,0,
C:\Users\vnazarov.CERTARA\pydarwin\Example4\temp\7\70,99999999.000000,01021002001111221,10837.112863600822,False,True,True,9,3,1,5.480493682095201,99999999,0,No important warnings
C:\Users\vnazarov.CERTARA\pydarwin\Example4\temp\7\76,99999999.000000,11110012100010000,99999999,False,False,False,0,0,0,99999999,0,0,
C:\Users\vnazarov.CERTARA\pydarwin\Example4\temp\7\77,99999999.000000,21010111011011221,99999999,False,False,False,0,0,0,99999999,0,0,
C:\Users\vnazarov.CERTARA\pydarwin\Example4\temp\7\79,99999999.000000,20121112111100020,99999999,False,False,False,0,0,0,99999999,0,0,
C:\Users\vnazarov.CERTARA\pydarwin\Example4\temp\7\80,99999999.000000,11011112101000121,99999999,False,False,False,0,0,0,99999999,0,0,
C:\Users\vnazarov.CERTARA\pydarwin\Example4\temp\7\78,99999999.000000,01020102010100120,9751.594492490349,False,True,True,9,4,2,611.7666194816825,99999999,0,No important warnings
C:\Users\vnazarov.CERTARA\pydarwin\Example4\temp\5D0\1,99999999.000000,01010012001100000,99999999,False,False,False,0,0,0,99999999,0,0,From NM_5D0_1: 
C:\Users\vnazarov.CERTARA\pydarwin\Example4\temp\0\1,99999999.000000,21010012001100000,99999999,False,False,False,13,3,2,99999999,99999999,0,From NM_0_1: No important warnings
C:\Users\vnazarov.CERTARA\pydarwin\Example4\temp\5D0\3,99999999.000000,20010012001100000,99999999,False,False,False,12,3,2,99999999,99999999,0,From NM_5D0_3: No important warnings
C:\Users\vnazarov.CERTARA\pydarwin\Example4\temp\5D0\4,99999999.000000,21110012001100000,99999999,False,False,False,13,4,2,99999999,99999999,0,From NM_5D0_4: No important warnings
