iteration,model number,run directory,ref run,status,fitness,model,ofv,success,covariance,correlation,ntheta,nomega,nsigm,total number of parameters, condition num,r penalty,python penalty,translation messages,runtime errors
02,49,C:\Users\xli267\pydarwin\MOGA_test1\temp\02\49,,Done,99999999.000000,01100010000011001111,99999999,False,False,False,13,4,2, 19,99999999,0,0,,K21 OR K31 IS TOO CLOSE TO AN EIGENVALUE 
02,50,C:\Users\xli267\pydarwin\MOGA_test1\temp\02\50,,Done,9852.216806,20001110001110101011,9762.216756165486,True,True,True,5,2,2, 9,2.691973948984321,0,0,,
02,51,C:\Users\xli267\pydarwin\MOGA_test1\temp\02\51,,Done,8528.735954,00011000000100010101,8108.735954430112,True,True,False,14,6,2, 22,10824199.522751369,0,0,,
02,52,C:\Users\xli267\pydarwin\MOGA_test1\temp\02\52,,Done,9841.625664,21110100000111100111,9741.625634328864,True,True,True,5,3,2, 10,2.9251170643393496,0,0,,
02,53,C:\Users\xli267\pydarwin\MOGA_test1\temp\02\53,,Done,8752.032747,11011101001010101010,8642.032717229049,True,True,True,7,3,1, 11,4.256597860202403,0,0,,
02,54,C:\Users\xli267\pydarwin\MOGA_test1\temp\02\54,,Done,8293.459508,01101011010100110010,8133.459507897645,True,True,True,10,5,1, 16,6.530030162637215,0,0,,
02,55,C:\Users\xli267\pydarwin\MOGA_test1\temp\02\55,,Done,9838.653849,20101011111101111011,9768.653798960593,True,True,True,3,2,2, 7,5.347630628736928,0,0,,
02,56,C:\Users\xli267\pydarwin\MOGA_test1\temp\02\56,,Done,8482.669276,10001011111000011100,8322.669265873266,True,True,True,10,5,1, 16,7.8958419637840835,0,0,,
02,57,C:\Users\xli267\pydarwin\MOGA_test1\temp\02\57,,Done,9014.066011,00111011111010010000,8534.06601076211,False,True,False,11,6,1, 18,2348485.6228135647,0,0,,
02,58,C:\Users\xli267\pydarwin\MOGA_test1\temp\02\58,,Done,8751.529124,10111011100010000010,8581.529114026267,True,True,True,11,5,1, 17,4.7043918083555845,0,0,,
02,59,C:\Users\xli267\pydarwin\MOGA_test1\temp\02\59,,Done,9848.568906,20100011110101111011,9768.56884617358,True,True,True,4,2,2, 8,5.359169996120302,0,0,,
02,60,C:\Users\xli267\pydarwin\MOGA_test1\temp\02\60,,Done,9894.248099,20111100000010111110,9804.248069056426,True,True,True,6,2,1, 9,6.577232954402112,0,0,,
02,61,C:\Users\xli267\pydarwin\MOGA_test1\temp\02\61,,Done,8454.907322,10001101000001111100,8324.90729192364,True,True,True,7,5,1, 13,4.745158458881619,0,0,,
02,62,C:\Users\xli267\pydarwin\MOGA_test1\temp\02\62,,Done,8298.285546,01101010111010010000,8108.28554606974,True,True,True,12,6,1, 19,8.7746389553209,0,0,,
02,63,C:\Users\xli267\pydarwin\MOGA_test1\temp\02\63,,Done,8423.371221,10101100000101100100,8273.371200841491,True,True,True,8,6,1, 15,5.951516276257494,0,0,,
02,64,C:\Users\xli267\pydarwin\MOGA_test1\temp\02\64,,Done,8330.401626,01100100101000101001,8110.401625526579,True,True,True,14,6,2, 22,9.065446815926885,0,0,,
02,65,C:\Users\xli267\pydarwin\MOGA_test1\temp\02\65,,Done,9879.127059,21010111011110101010,9809.1270293966,True,True,True,4,2,1, 7,1.7340698593997588,0,0,,
02,66,C:\Users\xli267\pydarwin\MOGA_test1\temp\02\66,,Done,9859.012960,21100110101011001111,9759.012919866936,True,True,True,6,2,2, 10,6.4363395040497835,0,0,,
02,67,C:\Users\xli267\pydarwin\MOGA_test1\temp\02\67,,Done,9879.127089,20000101001110101110,9809.1270293966,True,True,True,4,2,1, 7,1.7340698593997588,0,0,,
02,68,C:\Users\xli267\pydarwin\MOGA_test1\temp\02\68,,Done,9879.127039,21111111011110101010,9809.1270293966,True,True,True,4,2,1, 7,1.7340698593997588,0,0,,
02,69,C:\Users\xli267\pydarwin\MOGA_test1\temp\02\69,,Done,8482.869411,10000101110001001000,8312.869380690954,True,True,True,10,6,1, 17,6.862382545714193,0,0,,
02,70,C:\Users\xli267\pydarwin\MOGA_test1\temp\02\70,,Done,9892.999068,21100000100101110000,9792.998998138182,True,True,True,5,4,1, 10,4.565139061529793,0,0,,
02,71,C:\Users\xli267\pydarwin\MOGA_test1\temp\02\71,,Done,9849.801058,21101011111001101001,9749.801018209453,True,True,True,5,3,2, 10,7.442402170629774,0,0,,
02,72,C:\Users\xli267\pydarwin\MOGA_test1\temp\02\72,,Done,9898.233755,21111110100101010110,9798.233734570273,True,True,True,6,3,1, 10,7.3877238995316805,0,0,,
02,73,C:\Users\xli267\pydarwin\MOGA_test1\temp\02\73,,Done,99999999.000000,01110100110101010001,99999999,False,False,False,12,6,2, 20,99999999,0,0,,K21 OR K31 IS TOO CLOSE TO AN EIGENVALUE 
02,74,C:\Users\xli267\pydarwin\MOGA_test1\temp\02\74,,Done,9880.027588,21000111111101101110,9810.0275477544,True,True,True,4,2,1, 7,4.599145210712513,0,0,,
02,75,C:\Users\xli267\pydarwin\MOGA_test1\temp\02\75,,Done,9894.248119,20000100010010111110,9804.248069056426,True,True,True,6,2,1, 9,6.577232954402112,0,0,,
02,76,C:\Users\xli267\pydarwin\MOGA_test1\temp\02\76,,Done,8340.748540,01101111110001001001,8150.748539657574,True,True,True,12,5,2, 19,7.406645352090606,0,0,,
02,77,C:\Users\xli267\pydarwin\MOGA_test1\temp\02\77,,Done,9889.990140,21101111010101101010,9809.990119797152,True,True,True,5,2,1, 8,4.597914019097526,0,0,,
02,78,C:\Users\xli267\pydarwin\MOGA_test1\temp\02\78,,Done,9869.011639,21010110101010001011,9759.01158919166,True,True,True,7,2,2, 11,6.401831293930743,0,0,,
02,79,C:\Users\xli267\pydarwin\MOGA_test1\temp\02\79,,Done,8480.178721,10001010001000111110,8340.178701284154,True,True,True,9,4,1, 14,6.26546105304915,0,0,,
02,80,C:\Users\xli267\pydarwin\MOGA_test1\temp\02\80,,Done,9832.775361,21100001001011100111,9742.7753114025,True,True,True,4,3,2, 9,4.609092530913868,0,0,,
03,81,C:\Users\xli267\pydarwin\MOGA_test1\temp\03\81,,Done,9879.127059,21111001011110101010,9809.1270293966,True,True,True,4,2,1, 7,1.7340698593997588,0,0,,
03,82,C:\Users\xli267\pydarwin\MOGA_test1\temp\03\82,,Done,8296.743572,01101011111010010000,8116.743572154818,True,True,True,11,6,1, 18,8.396216121558414,0,0,,
03,83,C:\Users\xli267\pydarwin\MOGA_test1\temp\03\83,,Done,8491.222258,10001010100100111110,8341.222237735888,True,True,True,10,4,1, 15,6.128356241206079,0,0,,
03,84,C:\Users\xli267\pydarwin\MOGA_test1\temp\03\84,,Done,9899.316145,20100011011000010100,9789.316105156928,True,True,True,6,4,1, 11,8.337378199649454,0,0,,
03,85,C:\Users\xli267\pydarwin\MOGA_test1\temp\03\85,,Done,9846.707028,21110100111101000111,9736.706997961583,True,True,True,6,3,2, 11,7.753365209129625,0,0,,
03,86,C:\Users\xli267\pydarwin\MOGA_test1\temp\03\86,,Done,8562.500727,11100010100100111100,8412.500707366982,True,True,True,10,4,1, 15,6.8003769582365345,0,0,,
03,87,C:\Users\xli267\pydarwin\MOGA_test1\temp\03\87,,Done,9837.223966,21111101011110100111,9747.223956102636,True,True,True,4,3,2, 9,2.963986888560651,0,0,,
03,88,C:\Users\xli267\pydarwin\MOGA_test1\temp\03\88,,Done,9827.909882,21100111011110110111,9747.9098622537,True,True,True,3,3,2, 8,3.0647564918014836,0,0,,
03,89,C:\Users\xli267\pydarwin\MOGA_test1\temp\03\89,,Done,8439.125678,01011011011101001111,8289.125678498373,True,True,True,10,3,2, 15,7.301024147276255,0,0,,
03,90,C:\Users\xli267\pydarwin\MOGA_test1\temp\03\90,,Done,9880.027578,21110011001101101110,9810.0275477544,True,True,True,4,2,1, 7,4.599145210712513,0,0,,
03,91,C:\Users\xli267\pydarwin\MOGA_test1\temp\03\91,,Done,9889.330135,21011111100001111100,9799.330104710702,True,True,True,5,3,1, 9,5.605616163260826,0,0,,
03,92,C:\Users\xli267\pydarwin\MOGA_test1\temp\03\92,,Done,8328.934054,01101001101010110100,8148.934053809659,True,True,True,12,5,1, 18,6.435654983778556,0,0,,
03,93,C:\Users\xli267\pydarwin\MOGA_test1\temp\03\93,,Done,99999999.000000,01110000100101101101,99999999,False,False,False,14,4,2, 20,99999999,0,0,,K21 OR K31 IS TOO CLOSE TO AN EIGENVALUE 
03,94,C:\Users\xli267\pydarwin\MOGA_test1\temp\03\94,,Done,9859.483155,21111100111001000001,9729.483124788894,True,True,True,7,4,2, 13,8.282047633567633,0,0,,
03,95,C:\Users\xli267\pydarwin\MOGA_test1\temp\03\95,,Done,8502.188019,01001011010101010100,8132.188019372358,False,True,True,10,6,1, 17,3034484.81187007,0,0,,
03,96,C:\Users\xli267\pydarwin\MOGA_test1\temp\03\96,,Done,8422.572283,11101001001010010010,8282.572262586893,True,True,True,8,5,1, 14,4.278511385607778,0,0,,
03,97,C:\Users\xli267\pydarwin\MOGA_test1\temp\03\97,,Done,8296.144538,01101110001010000010,8116.144538408207,True,True,True,12,5,1, 18,6.2790309684015355,0,0,,
03,98,C:\Users\xli267\pydarwin\MOGA_test1\temp\03\98,,Done,9834.935988,20101011011101111001,9754.93594825853,True,True,True,3,3,2, 8,7.797555093563268,0,0,,
03,99,C:\Users\xli267\pydarwin\MOGA_test1\temp\03\99,,Done,8319.081422,00011010000100010101,8109.0814223492835,True,True,True,13,6,2, 21,9.45942888988064,0,0,,
03,100,C:\Users\xli267\pydarwin\MOGA_test1\temp\03\100,,Done,9871.513253,21101001001111101010,9811.513202809057,True,True,True,3,2,1, 6,1.7353721669854882,0,0,,
03,101,C:\Users\xli267\pydarwin\MOGA_test1\temp\03\101,,Done,8759.261370,11011101001010001010,8639.261339660228,True,True,True,8,3,1, 12,4.5354707749057495,0,0,,
03,102,C:\Users\xli267\pydarwin\MOGA_test1\temp\03\102,,Done,8584.982576,01100000001001110101,8084.982576439336,True,False,False,12,6,2, 20,99999999,0,0,,
03,103,C:\Users\xli267\pydarwin\MOGA_test1\temp\03\103,,Done,9832.775351,21101001001011100111,9742.7753114025,True,True,True,4,3,2, 9,4.609092530913868,0,0,,
03,104,C:\Users\xli267\pydarwin\MOGA_test1\temp\03\104,,Done,9875.797372,21101101001111100000,9795.797332335258,True,True,True,3,4,1, 8,3.3649139601405644,0,0,,
03,105,C:\Users\xli267\pydarwin\MOGA_test1\temp\03\105,,Done,8466.582107,00001100100001110011,8046.582106664556,True,True,False,13,7,2, 22,2155.77411129328,0,0,,
03,106,C:\Users\xli267\pydarwin\MOGA_test1\temp\03\106,,Done,9879.127069,21100011011110101010,9809.1270293966,True,True,True,4,2,1, 7,1.7340698593997588,0,0,,
03,107,C:\Users\xli267\pydarwin\MOGA_test1\temp\03\107,,Done,99999999.000000,01001000111001101100,99999999,False,False,False,13,5,1, 19,99999999,0,0,,K21 OR K31 IS TOO CLOSE TO AN EIGENVALUE 
03,108,C:\Users\xli267\pydarwin\MOGA_test1\temp\03\108,,Done,8286.552011,01101111000010110010,8126.552010902404,True,True,True,10,5,1, 16,4.718116644656857,0,0,,
03,109,C:\Users\xli267\pydarwin\MOGA_test1\temp\03\109,,Done,8470.386663,10001111001000111110,8350.386642889387,True,True,True,7,4,1, 12,6.480231342612495,0,0,,
03,110,C:\Users\xli267\pydarwin\MOGA_test1\temp\03\110,,Done,99999999.000000,00001100000011001111,99999999,False,False,False,13,5,2, 20,99999999,0,0,,K21 OR K31 IS TOO CLOSE TO AN EIGENVALUE 
03,111,C:\Users\xli267\pydarwin\MOGA_test1\temp\03\111,,Done,8291.979058,00101110011100010100,8121.9790578209295,True,True,True,10,6,1, 17,8.317277366440244,0,0,,
03,112,C:\Users\xli267\pydarwin\MOGA_test1\temp\03\112,,Done,9882.615983,21111111011110010110,9802.615983453596,True,True,True,4,3,1, 8,2.3451432626451196,0,0,,
03,113,C:\Users\xli267\pydarwin\MOGA_test1\temp\03\113,,Done,8321.446029,01100100101010101001,8111.446029274188,True,True,True,13,6,2, 21,8.024310180175025,0,0,,
03,114,C:\Users\xli267\pydarwin\MOGA_test1\temp\03\114,,Done,9903.217248,21101010100001101010,9803.217198000979,True,True,True,7,2,1, 10,6.729485839487871,0,0,,
03,115,C:\Users\xli267\pydarwin\MOGA_test1\temp\03\115,,Done,9847.667206,21111101011110101011,9767.667186052715,True,True,True,4,2,2, 8,3.336534431230609,0,0,,
03,116,C:\Users\xli267\pydarwin\MOGA_test1\temp\03\116,,Done,8464.658412,11001011010100111010,8334.658402446894,True,True,True,8,4,1, 13,6.148502316143848,0,0,,
03,117,C:\Users\xli267\pydarwin\MOGA_test1\temp\03\117,,Done,9897.686502,21111111001010000010,9797.686481971192,True,True,True,6,3,1, 10,4.692071731004269,0,0,,
03,118,C:\Users\xli267\pydarwin\MOGA_test1\temp\03\118,,Done,8432.193881,10100100000001100100,8272.193850589178,True,True,True,9,6,1, 16,7.613771503637842,0,0,,
03,119,C:\Users\xli267\pydarwin\MOGA_test1\temp\03\119,,Done,99999999.000000,00101001111110111010,99999999,False,False,False,10,5,1, 16,99999999,0,0,,K21 OR K31 IS TOO CLOSE TO AN EIGENVALUE 
03,120,C:\Users\xli267\pydarwin\MOGA_test1\temp\03\120,,Done,9846.561926,21101000010101010111,9736.561896179277,True,True,True,6,3,2, 11,7.6177821357296756,0,0,,
04,121,C:\Users\xli267\pydarwin\MOGA_test1\temp\04\121,,Done,8400.575654,10000100000001010101,8230.575614215957,True,True,True,9,6,2, 17,9.667690459329899,0,0,,
04,122,C:\Users\xli267\pydarwin\MOGA_test1\temp\04\122,,Done,8869.261912,11011101001010001000,8639.261882150417,True,True,False,8,4,1, 13,285.49238130789735,0,0,,
04,123,C:\Users\xli267\pydarwin\MOGA_test1\temp\04\123,,Done,8476.019039,11101000100100011010,8316.019018623136,True,True,True,11,4,1, 16,7.612398906429433,0,0,,
04,124,C:\Users\xli267\pydarwin\MOGA_test1\temp\04\124,,Done,8486.390547,10001011111100111110,8356.390537042962,True,True,True,8,4,1, 13,6.0550898501447525,0,0,,
04,125,C:\Users\xli267\pydarwin\MOGA_test1\temp\04\125,,Done,8297.137370,01101011101110110000,8127.137370391268,True,True,True,10,6,1, 17,7.672746989985273,0,0,,
04,126,C:\Users\xli267\pydarwin\MOGA_test1\temp\04\126,,Done,8286.745249,01101011011010010000,8116.745248894056,True,True,True,10,6,1, 17,7.95317833933298,0,0,,
04,127,C:\Users\xli267\pydarwin\MOGA_test1\temp\04\127,,Done,9847.171457,21101111110001110001,9737.171426935549,True,True,True,5,4,2, 11,5.582913006199422,0,0,,
04,128,C:\Users\xli267\pydarwin\MOGA_test1\temp\04\128,,Done,9831.315145,20101011001111100001,9741.315095055457,True,True,True,3,4,2, 9,5.190123931182415,0,0,,
04,129,C:\Users\xli267\pydarwin\MOGA_test1\temp\04\129,,Done,8984.788755,11011111001010111110,8794.788734722848,False,True,True,6,2,1, 9,4.563226502576571,0,0,,
04,130,C:\Users\xli267\pydarwin\MOGA_test1\temp\04\130,,Done,8490.163195,10001010010000111110,8340.163185172274,True,True,True,10,4,1, 15,6.731022634714426,0,0,,
04,131,C:\Users\xli267\pydarwin\MOGA_test1\temp\04\131,,Done,8396.712560,00011000100011101001,8176.712560125328,True,True,True,14,6,2, 22,57.86969923414227,0,0,,
04,132,C:\Users\xli267\pydarwin\MOGA_test1\temp\04\132,,Done,9856.398801,20000001100101000001,9736.39871102895,True,True,True,6,4,2, 12,8.098731808767955,0,0,,
04,133,C:\Users\xli267\pydarwin\MOGA_test1\temp\04\133,,Done,8680.451674,01010000111010100100,8180.451673778621,False,True,False,13,6,1, 20,19711588305690.746,0,0,,
04,134,C:\Users\xli267\pydarwin\MOGA_test1\temp\04\134,,Done,9869.011629,21001110001010001011,9759.01158919166,True,True,True,7,2,2, 11,6.401831293930743,0,0,,
04,135,C:\Users\xli267\pydarwin\MOGA_test1\temp\04\135,,Done,8408.283832,10001110100001010011,8228.283812021373,True,True,True,10,6,2, 18,7.3734274296369025,0,0,,
04,136,C:\Users\xli267\pydarwin\MOGA_test1\temp\04\136,,Done,8754.371277,10011000000000100100,8584.371246963201,True,True,True,11,5,1, 17,13.828255087583322,0,0,,
04,137,C:\Users\xli267\pydarwin\MOGA_test1\temp\04\137,,Done,9879.127059,21101101011110101010,9809.1270293966,True,True,True,4,2,1, 7,1.7340698593997588,0,0,,
04,138,C:\Users\xli267\pydarwin\MOGA_test1\temp\04\138,,Done,9852.395976,21100001001001101011,9762.395915989693,True,True,True,5,2,2, 9,5.172249697995979,0,0,,
04,139,C:\Users\xli267\pydarwin\MOGA_test1\temp\04\139,,Done,99999999.000000,01001101001000010101,99999999,False,False,False,12,6,2, 20,99999999,0,0,,K21 OR K31 IS TOO CLOSE TO AN EIGENVALUE 
04,140,C:\Users\xli267\pydarwin\MOGA_test1\temp\04\140,,Done,8455.122868,01011111001001001111,8295.12286797921,True,True,True,11,3,2, 16,7.361829488619443,0,0,,
04,141,C:\Users\xli267\pydarwin\MOGA_test1\temp\04\141,,Done,9856.398791,20000001100101000101,9736.39871102895,True,True,True,6,4,2, 12,8.098731808767955,0,0,,
04,142,C:\Users\xli267\pydarwin\MOGA_test1\temp\04\142,,Done,9888.764945,21100001011100101110,9808.764904971837,True,True,True,5,2,1, 8,6.428525726760673,0,0,,
04,143,C:\Users\xli267\pydarwin\MOGA_test1\temp\04\143,,Done,8456.010370,11000110001010001010,8316.010340097511,True,True,True,9,4,1, 14,6.631394451232281,0,0,,
04,144,C:\Users\xli267\pydarwin\MOGA_test1\temp\04\144,,Done,9840.843733,20011101011110100101,9740.843702620146,True,True,True,4,4,2, 10,5.0783335035807635,0,0,,
04,145,C:\Users\xli267\pydarwin\MOGA_test1\temp\04\145,,Done,9863.408135,21101001011111111110,9813.408104525717,True,True,True,2,2,1, 5,1.72352254337965,0,0,,
04,146,C:\Users\xli267\pydarwin\MOGA_test1\temp\04\146,,Done,9863.541932,21111100101001001001,9743.541892295889,True,True,True,7,3,2, 12,11.946762684142893,0,0,,
04,147,C:\Users\xli267\pydarwin\MOGA_test1\temp\04\147,,Done,9891.524692,21101001001100010110,9801.524652075488,True,True,True,5,3,1, 9,8.061020952695136,0,0,,
04,148,C:\Users\xli267\pydarwin\MOGA_test1\temp\04\148,,Done,9888.764945,21100011011100101010,9808.764904971837,True,True,True,5,2,1, 8,6.428525726760673,0,0,,
04,149,C:\Users\xli267\pydarwin\MOGA_test1\temp\04\149,,Done,9831.831376,21001111111101110001,9741.831336272944,True,True,True,3,4,2, 9,5.513807913679824,0,0,,
04,150,C:\Users\xli267\pydarwin\MOGA_test1\temp\04\150,,Done,8303.558225,01101000110101010101,8103.558224502886,True,True,True,13,5,2, 20,11.744021142328654,0,0,,
