[01:14:24] Using darwin.MemoryModelCache
[01:14:24] Algorithm is EX
[01:14:24] Project dir: /home/CertaraUser/examples/user/Example1
[01:14:24] Data dir: /home/CertaraUser/examples/user/Example1
[01:14:24] Project working dir: /home/CertaraUser/pydarwin/Example1
[01:14:24] Project temp dir: /home/CertaraUser/pydarwin/Example1/temp
[01:14:24] Project output dir: /home/CertaraUser/pydarwin/Example1/output
[01:14:24] Writing intermediate output to /home/CertaraUser/pydarwin/Example1/output/results.csv
[01:14:24] Models will be saved in /home/CertaraUser/pydarwin/Example1/models.json
[01:14:24] Template file found at template.txt
[01:14:24] Tokens file found at tokens.json
[01:14:24] Search start time = Mon Mar  6 01:14:24 2023
[01:14:24] Total of 64 to be run in exhaustive search
[01:14:24] NMFE found: /home/CertaraUser/nm751/util/nmfe75
[01:14:24] Not using Post Run R code
[01:14:24] Not using Post Run Python code
[01:14:24] Checking files in /home/CertaraUser/pydarwin/Example1/temp/0/01
[01:14:24] Data set # 1 was found: /home/CertaraUser/examples/user/Example1/dataExample1.csv
[01:19:45] Iteration = 0, Model    56,           Done,    fitness = 5187.364,    message = No important warnings
[01:20:01] Iteration = 0, Model    59,           Done,    fitness = 4873.613,    message = No important warnings
[01:20:03] Iteration = 0, Model    60,           Done,    fitness = 4883.004,    message = No important warnings
[01:20:06] Iteration = 0, Model    58,           Done,    fitness = 4884.924,    message = No important warnings
[01:20:09] Iteration = 0, Model    61,           Done,    fitness = 4872.221,    message = No important warnings
[01:20:24] Iteration = 0, Model    62,           Done,    fitness = 4881.791,    message = No important warnings
[01:20:24] Iteration = 0, Model    63,           Done,    fitness = 4867.911,    message = No important warnings
[01:20:25] Iteration = 0, Model    64,           Done,    fitness = 4877.363,    message = No important warnings
[01:20:25] Current Best fitness = 4818.765528675307
[01:20:25] Final output from best model is in /home/CertaraUser/pydarwin/Example1/output/FinalResultFile.lst
[01:20:25] Number of unique models to best model = 50
[01:20:25] Time to best model = 3.9 minutes
[01:20:25] Best overall fitness = 4818.765529, iteration 0, model 47
[01:20:25] Elapsed time = 6.0 minutes 

[01:20:25] Search end time = Mon Mar  6 01:20:25 2023
