Model num,Fitness,Model,generation,ofv,success,covar,correlation #,ntheta,condition,RPenalty,PythonPenalty,NMTran messages
3,5669.313713,001011,5,5589.313712621895,True,True,True,5,70.40258456334769,0,,From saved model No important warnings
4,5669.313713,001011,5,5589.313712621895,True,True,True,5,70.40258456334769,0,,From saved model No important warnings
5,5669.313713,001011,5,5589.313712621895,True,True,True,5,70.40258456334769,0,,From saved model No important warnings
6,5669.313713,001011,5,5589.313712621895,True,True,True,5,70.40258456334769,0,,From saved model No important warnings
7,5669.313713,001011,5,5589.313712621895,True,True,True,5,70.40258456334769,0,,From saved model No important warnings
8,5669.313713,001011,5,5589.313712621895,True,True,True,5,70.40258456334769,0,,From saved model No important warnings
8,5669.313713,001011,5,5589.313712621895,True,True,True,5,70.40258456334769,0,,From saved model No important warnings
9,5669.313713,001011,5,5589.313712621895,True,True,True,5,70.40258456334769,0,,From saved model No important warnings
9,5669.313713,001011,5,5589.313712621895,True,True,True,5,70.40258456334769,0,,From saved model No important warnings
10,5669.313713,001011,5,5589.313712621895,True,True,True,5,70.40258456334769,0,,From saved model No important warnings
10,5669.313713,001011,5,5589.313712621895,True,True,True,5,70.40258456334769,0,,From saved model No important warnings
11,5669.313713,001011,5,5589.313712621895,True,True,True,5,70.40258456334769,0,,From saved model No important warnings
11,5669.313713,001011,5,5589.313712621895,True,True,True,5,70.40258456334769,0,,From saved model No important warnings
0,4818.765529,000010,6,4738.765528670225,True,True,True,4,50.903489057726674,0,,From saved model No important warnings
1,4818.765529,000010,6,4738.765528670225,True,True,True,4,50.903489057726674,0,,From saved model No important warnings
2,4818.765529,000010,6,4738.765528670225,True,True,True,4,50.903489057726674,0,,From saved model No important warnings
3,4818.765529,000010,6,4738.765528670225,True,True,True,4,50.903489057726674,0,,From saved model No important warnings
4,4818.765529,000010,6,4738.765528670225,True,True,True,4,50.903489057726674,0,,From saved model No important warnings
5,4818.765529,000010,6,4738.765528670225,True,True,True,4,50.903489057726674,0,,From saved model No important warnings
6,4818.765529,000010,6,4738.765528670225,True,True,True,4,50.903489057726674,0,,From saved model No important warnings
7,4818.765529,000010,6,4738.765528670225,True,True,True,4,50.903489057726674,0,,From saved model No important warnings
8,4818.765529,000010,6,4738.765528670225,True,True,True,4,50.903489057726674,0,,From saved model No important warnings
8,4818.765529,000010,6,4738.765528670225,True,True,True,4,50.903489057726674,0,,From saved model No important warnings
9,4822.599672,010010,6,4732.599671627191,True,True,True,5,51.833216871884595,0,,From saved model No important warnings
9,4822.599672,010010,6,4732.599671627191,True,True,True,5,51.833216871884595,0,,From saved model No important warnings
10,4818.765529,000010,6,4738.765528670225,True,True,True,4,50.903489057726674,0,,From saved model No important warnings
10,4818.765529,000010,6,4738.765528670225,True,True,True,4,50.903489057726674,0,,From saved model No important warnings
11,4818.765529,000010,6,4738.765528670225,True,True,True,4,50.903489057726674,0,,From saved model No important warnings
11,4818.765529,000010,6,4738.765528670225,True,True,True,4,50.903489057726674,0,,From saved model No important warnings
0,4882.221009,100100,7,4792.221009000265,True,True,True,4,5.793908200221528,0,,From saved model No important warnings
1,4882.221009,100100,7,4792.221009000265,True,True,True,4,5.793908200221528,0,,From saved model No important warnings
2,4882.221009,100100,7,4792.221009000265,True,True,True,4,5.793908200221528,0,,From saved model No important warnings
3,4882.221009,100100,7,4792.221009000265,True,True,True,4,5.793908200221528,0,,From saved model No important warnings
4,4882.221009,100100,7,4792.221009000265,True,True,True,4,5.793908200221528,0,,From saved model No important warnings
5,4882.221009,100100,7,4792.221009000265,True,True,True,4,5.793908200221528,0,,From saved model No important warnings
6,4882.221009,100100,7,4792.221009000265,True,True,True,4,5.793908200221528,0,,From saved model No important warnings
7,4882.221009,100100,7,4792.221009000265,True,True,True,4,5.793908200221528,0,,From saved model No important warnings
8,5772.632008,100101,7,5692.632008303359,True,True,True,4,28.173565509888746,0,,From saved model No important warnings
8,5772.632008,100101,7,5692.632008303359,True,True,True,4,28.173565509888746,0,,From saved model No important warnings
9,4882.221009,100100,7,4792.221009000265,True,True,True,4,5.793908200221528,0,,From saved model No important warnings
9,4882.221009,100100,7,4792.221009000265,True,True,True,4,5.793908200221528,0,,From saved model No important warnings
10,4882.221009,100100,7,4792.221009000265,True,True,True,4,5.793908200221528,0,,From saved model No important warnings
10,4882.221009,100100,7,4792.221009000265,True,True,True,4,5.793908200221528,0,,From saved model No important warnings
11,5772.632008,100101,7,5692.632008303359,True,True,True,4,28.173565509888746,0,,From saved model No important warnings
11,5772.632008,100101,7,5692.632008303359,True,True,True,4,28.173565509888746,0,,From saved model No important warnings
0,4826.178798,101010,8,4726.178798424344,True,True,True,6,57.77807830415078,0,,From saved model No important warnings
1,4826.178798,101010,8,4726.178798424344,True,True,True,6,57.77807830415078,0,,From saved model No important warnings
2,4826.178798,101010,8,4726.178798424344,True,True,True,6,57.77807830415078,0,,From saved model No important warnings
3,4826.178798,101010,8,4726.178798424344,True,True,True,6,57.77807830415078,0,,From saved model No important warnings
4,4826.178798,101010,8,4726.178798424344,True,True,True,6,57.77807830415078,0,,From saved model No important warnings
5,4826.178798,101010,8,4726.178798424344,True,True,True,6,57.77807830415078,0,,From saved model No important warnings
6,4826.178798,101010,8,4726.178798424344,True,True,True,6,57.77807830415078,0,,From saved model No important warnings
7,4826.178798,101010,8,4726.178798424344,True,True,True,6,57.77807830415078,0,,From saved model No important warnings
8,4826.178798,101010,8,4726.178798424344,True,True,True,6,57.77807830415078,0,,From saved model No important warnings
8,4826.178798,101010,8,4726.178798424344,True,True,True,6,57.77807830415078,0,,From saved model No important warnings
9,4826.178798,101010,8,4726.178798424344,True,True,True,6,57.77807830415078,0,,From saved model No important warnings
9,4826.178798,101010,8,4726.178798424344,True,True,True,6,57.77807830415078,0,,From saved model No important warnings
10,4826.178798,101010,8,4726.178798424344,True,True,True,6,57.77807830415078,0,,From saved model No important warnings
10,4826.178798,101010,8,4726.178798424344,True,True,True,6,57.77807830415078,0,,From saved model No important warnings
11,4826.178798,101010,8,4726.178798424344,True,True,True,6,57.77807830415078,0,,From saved model No important warnings
11,4826.178798,101010,8,4726.178798424344,True,True,True,6,57.77807830415078,0,,From saved model No important warnings
0,4942.578000,110110,9,4732.578000207513,True,True,True,6,5626787.4201463545,0,,From saved model No important warnings
1,4942.578000,110110,9,4732.578000207513,True,True,True,6,5626787.4201463545,0,,From saved model No important warnings
3,4942.578000,110110,9,4732.578000207513,True,True,True,6,5626787.4201463545,0,,From saved model No important warnings
5,4942.578000,110110,9,4732.578000207513,True,True,True,6,5626787.4201463545,0,,From saved model No important warnings
6,4942.578000,110110,9,4732.578000207513,True,True,True,6,5626787.4201463545,0,,From saved model No important warnings
7,4942.578000,110110,9,4732.578000207513,True,True,True,6,5626787.4201463545,0,,From saved model No important warnings
8,4942.578000,110110,9,4732.578000207513,True,True,True,6,5626787.4201463545,0,,From saved model No important warnings
4,4946.138450,111110,9,4726.138450226663,True,True,True,7,8807287.627976008,0,0,No important warnings
11,4942.578000,110110,9,4732.578000207513,True,True,True,6,5626787.4201463545,0,,From saved model No important warnings
11,4942.578000,110110,9,4732.578000207513,True,True,True,6,5626787.4201463545,0,,From saved model No important warnings
2,4946.138450,111110,9,4726.138450226663,True,True,True,7,8807287.627976008,0,0,No important warnings
2,4946.138450,111110,9,4726.138450226663,True,True,True,7,8807287.627976008,0,0,No important warnings
9,4946.138450,111110,9,4726.138450226663,True,True,True,7,8807287.627976008,0,0,No important warnings
9,4946.138450,111110,9,4726.138450226663,True,True,True,7,8807287.627976008,0,0,No important warnings
10,4946.138450,111110,9,4726.138450226663,True,True,True,7,8807287.627976008,0,0,No important warnings
10,4946.138450,111110,9,4726.138450226663,True,True,True,7,8807287.627976008,0,0,No important warnings
3,4872.220634,010000,0,4792.2206337106845,True,True,True,4,5.75441342408438,0,0,No important warnings
1,5736.422779,100001,0,5666.422778970122,True,True,True,4,16.657736510228677,0,0,No important warnings
2,4867.911024,000000,0,4797.91102418587,True,True,True,3,4.623717288007172,0,0,No important warnings
0,5849.872187,111101,0,5649.8721871093885,True,True,True,6,2390086.4554057126,0,0,No important warnings
4,5669.995082,100011,0,5589.99508188576,True,True,True,5,65.47525424006457,0,0,No important warnings
6,5783.451397,111011,0,5583.451397339267,True,True,True,7,200006787.2361291,0,0,No important warnings
5,4946.138450,111110,0,4726.138450226663,True,True,True,7,8807287.627976008,0,0,No important warnings
7,5882.632004,110101,0,5692.632003655813,True,True,True,5,1392573.1213445293,0,0,No important warnings
10,5849.872187,111101,0,5649.8721871093885,True,True,True,6,2390086.4554057126,0,,From saved model No important warnings
10,5849.872187,111101,0,5649.8721871093885,True,True,True,6,2390086.4554057126,0,,From saved model No important warnings
10,5849.872187,111101,0,5649.8721871093885,True,True,True,6,2390086.4554057126,0,,From saved model No important warnings
8,5733.129804,000001,0,5673.129803784894,True,True,True,3,18.797015669429832,0,0,No important warnings
8,5733.129804,000001,0,5673.129803784894,True,True,True,3,18.797015669429832,0,0,No important warnings
